Connecting to host 44.234.34.171, port 5201
[  5] local 172.31.50.101 port 55982 connected to 44.234.34.171 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  31.00-32.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  32.00-33.00  sec  39.6 MBytes   332 Mbits/sec    0    257 KBytes       
[  5]  33.00-34.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  34.00-35.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  35.00-36.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  36.00-37.00  sec  39.2 MBytes   329 Mbits/sec    0    257 KBytes       
[  5]  37.00-38.00  sec  39.6 MBytes   332 Mbits/sec    0    257 KBytes       
[  5]  38.00-39.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  39.00-40.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  40.00-41.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  41.00-42.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  42.00-43.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  43.00-44.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  44.00-45.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  45.00-46.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  46.00-47.00  sec  39.6 MBytes   332 Mbits/sec    0    257 KBytes       
[  5]  47.00-48.00  sec  39.2 MBytes   329 Mbits/sec    0    257 KBytes       
[  5]  48.00-49.00  sec  39.6 MBytes   332 Mbits/sec    0    257 KBytes       
[  5]  49.00-50.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  50.00-51.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  51.00-52.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  52.00-53.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  53.00-54.00  sec  39.8 MBytes   333 Mbits/sec    0    257 KBytes       
[  5]  54.00-55.00  sec  39.1 MBytes   328 Mbits/sec    0    257 KBytes       
[  5]  55.00-56.00  sec  39.6 MBytes   332 Mbits/sec    0    257 KBytes       
