Connecting to host 44.234.34.171, port 5201
[  5] local 172.31.50.101 port 52550 connected to 44.234.34.171 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   4.00-5.00   sec  34.2 MBytes   287 Mbits/sec    0    198 KBytes       
[  5]   5.00-6.00   sec  34.4 MBytes   288 Mbits/sec    0    197 KBytes       
[  5]   6.00-7.00   sec  33.5 MBytes   281 Mbits/sec    0    195 KBytes       
[  5]   7.00-8.00   sec  34.4 MBytes   288 Mbits/sec    0    175 KBytes       
[  5]   8.00-9.00   sec  34.9 MBytes   292 Mbits/sec    0    185 KBytes       
[  5]   9.00-10.00  sec  34.1 MBytes   286 Mbits/sec    0   5.66 KBytes       
[  5]  10.00-11.00  sec  22.6 MBytes   190 Mbits/sec    0    223 KBytes       
[  5]  11.00-12.00  sec  27.5 MBytes   231 Mbits/sec    0    218 KBytes       
[  5]  12.00-13.00  sec  27.4 MBytes   230 Mbits/sec    0    221 KBytes       
[  5]  13.00-14.00  sec  27.5 MBytes   231 Mbits/sec    0    223 KBytes       
[  5]  14.00-15.00  sec  26.6 MBytes   223 Mbits/sec    0    223 KBytes       
[  5]  15.00-16.00  sec  27.5 MBytes   231 Mbits/sec    0    221 KBytes       
[  5]  16.00-17.00  sec  27.5 MBytes   231 Mbits/sec    0    223 KBytes       
[  5]  17.00-18.00  sec  27.5 MBytes   231 Mbits/sec    0    223 KBytes       
[  5]  18.00-19.00  sec  27.4 MBytes   230 Mbits/sec    0    221 KBytes       
[  5]  19.00-20.00  sec  27.5 MBytes   231 Mbits/sec    0    223 KBytes       
[  5]  20.00-21.00  sec  22.6 MBytes   190 Mbits/sec    0    235 KBytes       
[  5]  21.00-22.00  sec  27.8 MBytes   233 Mbits/sec    0    256 KBytes       
[  5]  22.00-23.00  sec  27.0 MBytes   226 Mbits/sec    0    260 KBytes       
[  5]  23.00-24.00  sec  27.9 MBytes   234 Mbits/sec    0    260 KBytes       
[  5]  24.00-25.00  sec  26.9 MBytes   225 Mbits/sec    0    257 KBytes       
[  5]  25.00-26.00  sec  27.9 MBytes   234 Mbits/sec    0    260 KBytes       
[  5]  26.00-27.00  sec  27.0 MBytes   227 Mbits/sec    0    260 KBytes       
[  5]  27.00-28.00  sec  27.9 MBytes   234 Mbits/sec    0    260 KBytes       
[  5]  28.00-29.00  sec  26.9 MBytes   225 Mbits/sec    0    216 KBytes       
[  5]  29.00-30.00  sec  27.0 MBytes   226 Mbits/sec    0    235 KBytes       
[  5]  30.00-31.00  sec  32.8 MBytes   275 Mbits/sec    0    175 KBytes       
[  5]  31.00-32.00  sec  22.4 MBytes   188 Mbits/sec    0    147 KBytes       
[  5]  32.00-33.00  sec  23.5 MBytes   197 Mbits/sec    0    161 KBytes       
[  5]  33.00-34.00  sec  22.2 MBytes   187 Mbits/sec    0    161 KBytes       
[  5]  34.00-35.00  sec  22.4 MBytes   188 Mbits/sec    0    136 KBytes       
[  5]  35.00-36.00  sec  23.5 MBytes   197 Mbits/sec    0    139 KBytes       
[  5]  36.00-37.00  sec  22.4 MBytes   188 Mbits/sec    0    195 KBytes       
[  5]  37.00-38.00  sec  22.4 MBytes   188 Mbits/sec    0    181 KBytes       
[  5]  38.00-39.00  sec  22.4 MBytes   188 Mbits/sec    0    187 KBytes       
[  5]  39.00-40.00  sec  22.4 MBytes   188 Mbits/sec    0    167 KBytes       
[  5]  40.00-41.00  sec  26.9 MBytes   225 Mbits/sec    0    150 KBytes       
[  5]  41.00-42.00  sec  23.5 MBytes   197 Mbits/sec    0    150 KBytes       
[  5]  42.00-43.00  sec  22.4 MBytes   188 Mbits/sec    0    173 KBytes       
[  5]  43.00-44.00  sec  23.5 MBytes   197 Mbits/sec    0    198 KBytes       
[  5]  44.00-45.00  sec  23.5 MBytes   197 Mbits/sec    0    201 KBytes       
[  5]  45.00-46.00  sec  23.5 MBytes   197 Mbits/sec    0    189 KBytes       
